region,parent,level
aberdeen city,scotland,1
aberdeenshire,scotland,1
angus,scotland,1
antrim,northern ireland,1
argyll and bute,scotland,1
armagh,northern ireland,1
bath and ne somerset,south west england,1
bedfordshire,east of england,1
blackburn with darwen,north west england,1
blackpool,north west england,1
blaenau gwent,wales,1
bournemouth,south west england,1
bracknell forest,south east england,1
bridgend,wales,1
brighton and hove,south east england,1
"bristol, city of",south west england,1
buckinghamshire,south east england,1
caerphilly,wales,1
cambridgeshire,east of england,1
cardiff,wales,1
carlow,republic of ireland,1
carmarthenshire,wales,1
cavan,republic of ireland,1
ceredigion,wales,1
cheshire,north west england,1
city of edinburgh,scotland,1
clackmannanshire,scotland,1
clare,republic of ireland,1
conwy,wales,1
cork,republic of ireland,1
cornwall and isles of scilly,south west england,1
cumbria,north west england,1
darlington,north east england,1
denbighshire,wales,1
derby,east midlands,1
derbyshire,east midlands,1
devon,south west england,1
donegal,republic of ireland,1
dorset,south west england,1
down,northern ireland,1
dublin,republic of ireland,1
dumfries and galloway,scotland,1
dundee city,scotland,1
durham,north east england,1
east ayrshire,scotland,1
east dunbartonshire,scotland,1
east lothian,scotland,1
east renfrewshire,scotland,1
east riding of yorkshire,yorkshire and the humber,1
east sussex,south east england,1
essex,east of england,1
falkirk,scotland,1
fermanagh,northern ireland,1
fife,scotland,1
flintshire,wales,1
galway,republic of ireland,1
glasgow city,scotland,1
gloucestershire,south west england,1
greater london,london,1
greater manchester,north west england,1
gwynedd,wales,1
halton,north west england,1
hampshire,south east england,1
hartlepool,north east england,1
herefordshire,west midlands - region,1
hertfordshire,east of england,1
highland,scotland,1
inverclyde,scotland,1
isle of anglesey,wales,1
isle of man,isle of man,1
isle of wight,south east england,1
kent,south east england,1
kerry,republic of ireland,1
kildare,republic of ireland,1
kilkenny,republic of ireland,1
"kingston upon hull, city of",yorkshire and the humber,1
lancashire,north west england,1
laois,republic of ireland,1
leicester,east midlands,1
leicestershire,east midlands,1
leitrim,republic of ireland,1
limerick,republic of ireland,1
lincolnshire,east midlands,1
londonderry,northern ireland,1
longford,republic of ireland,1
louth,republic of ireland,1
luton,east of england,1
mayo,republic of ireland,1
meath,republic of ireland,1
medway,south east england,1
merseyside,north west england,1
merthyr tydfil,wales,1
middlesbrough,north east england,1
midlothian,scotland,1
milton keynes,south east england,1
monaghan,republic of ireland,1
monmouthshire,wales,1
