region_aggregation_id,region_type,region
england,fine,1445
england,fine,1505
england,fine,1506
england,fine,1564
england,fine,1565
england,fine,1566
england,fine,1625
england,fine,1626
england,fine,1627
england,fine,1685
england,fine,1686
england,fine,1687
england,fine,1688
england,fine,1746
england,fine,1747
england,fine,1748
england,fine,1749
england,fine,1806
england,fine,1807
england,fine,1808
england,fine,1809
england,fine,1810
england,fine,1866
england,fine,1867
england,fine,1868
england,fine,1869
england,fine,1870
england,fine,1925
england,fine,1926
england,fine,1927
england,fine,1928
england,fine,1929
england,fine,1930
england,fine,1985
england,fine,1986
england,fine,1987
england,fine,1988
england,fine,1989
england,fine,1990
england,fine,2005
england,fine,2006
england,fine,2007
england,fine,2047
england,fine,2048
england,fine,2049
england,fine,2050
england,fine,2056
england,fine,2064
england,fine,2065
england,fine,2066
england,fine,2067
england,fine,2068
england,fine,2108
england,fine,2109
england,fine,2110
england,fine,2111
england,fine,2113
england,fine,2114
england,fine,2115
england,fine,2116
england,fine,2117
england,fine,2118
england,fine,2119
england,fine,2120
england,fine,2121
england,fine,2122
england,fine,2123
england,fine,2124
england,fine,2125
england,fine,2126
england,fine,2127
england,fine,2128
england,fine,2168
england,fine,2169
england,fine,2170
england,fine,2171
england,fine,2172
england,fine,2173
england,fine,2174
england,fine,2175
england,fine,2176
england,fine,2177
england,fine,2178
england,fine,2179
england,fine,2180
england,fine,2181
england,fine,2182
england,fine,2183
england,fine,2184
england,fine,2185
england,fine,2186
england,fine,2187
england,fine,2188
england,fine,2189
england,fine,2227
england,fine,2228
england,fine,2229
england,fine,2230
england,fine,2231
england,fine,2232
england,fine,2233
england,fine,2234
england,fine,2235
england,fine,2236
england,fine,2237
england,fine,2238
england,fine,2239
england,fine,2240
england,fine,2241
england,fine,2242
england,fine,2243
england,fine,2244
england,fine,2245
england,fine,2246
england,fine,2247
england,fine,2248
england,fine,2249
england,fine,2250
england,fine,2287
england,fine,2288
england,fine,2289
england,fine,2290
england,fine,2291
england,fine,2292
england,fine,2293
england,fine,2294
england,fine,2295
england,fine,2296
england,fine,2297
england,fine,2298
england,fine,2299
england,fine,2300
england,fine,2301
england,fine,2302
england,fine,2303
england,fine,2304
england,fine,2305
england,fine,2306
england,fine,2307
england,fine,2308
england,fine,2309
england,fine,2310
england,fine,2311
england,fine,2347
england,fine,2348
england,fine,2349
england,fine,2350
england,fine,2351
england,fine,2352
england,fine,2353
england,fine,2354
england,fine,2355
england,fine,2356
england,fine,2357
england,fine,2358
england,fine,2359
england,fine,2360
england,fine,2361
england,fine,2362
england,fine,2363
england,fine,2364
england,fine,2365
england,fine,2366
england,fine,2367
england,fine,2368
england,fine,2369
england,fine,2370
england,fine,2371
england,fine,2372
england,fine,2407
england,fine,2408
england,fine,2409
england,fine,2410
england,fine,2411
england,fine,2412
england,fine,2413
england,fine,2414
england,fine,2415
england,fine,2416
england,fine,2417
england,fine,2418
england,fine,2419
england,fine,2420
england,fine,2421
england,fine,2422
england,fine,2423
england,fine,2424
england,fine,2425
england,fine,2426
england,fine,2427
england,fine,2428
england,fine,2429
england,fine,2430
england,fine,2431
england,fine,2432
england,fine,2468
england,fine,2469
england,fine,2470
england,fine,2471
england,fine,2472
england,fine,2473
england,fine,2474
england,fine,2475
england,fine,2476
england,fine,2477
england,fine,2478
england,fine,2479
england,fine,2480
england,fine,2481
england,fine,2482
england,fine,2483
england,fine,2484
england,fine,2485
england,fine,2486
england,fine,2487
england,fine,2488
england,fine,2489
england,fine,2490
england,fine,2491
england,fine,2527
england,fine,2528
england,fine,2529
england,fine,2530
england,fine,2531
england,fine,2532
england,fine,2533
england,fine,2534
england,fine,2535
england,fine,2536
england,fine,2537
england,fine,2538
england,fine,2539
england,fine,2540
england,fine,2541
england,fine,2542
england,fine,2543
england,fine,2544
england,fine,2545
england,fine,2546
england,fine,2547
england,fine,2548
england,fine,2549
england,fine,2587
england,fine,2588
england,fine,2589
england,fine,2590
england,fine,2591
england,fine,2592
england,fine,2593
england,fine,2594
england,fine,2595
england,fine,2596
england,fine,2597
england,fine,2598
england,fine,2599
england,fine,2600
england,fine,2601
england,fine,2602
england,fine,2603
england,fine,2604
england,fine,2605
england,fine,2606
england,fine,2607
england,fine,2648
england,fine,2649
england,fine,2650
england,fine,2651
england,fine,2652
england,fine,2653
england,fine,2654
england,fine,2655
england,fine,2656
england,fine,2657
england,fine,2658
england,fine,2659
england,fine,2660
england,fine,2661
england,fine,2662
england,fine,2663
england,fine,2664
england,fine,2665
england,fine,2666
england,fine,2708
england,fine,2709
england,fine,2710
england,fine,2711
england,fine,2712
england,fine,2713
england,fine,2714
england,fine,2715
england,fine,2716
england,fine,2717
england,fine,2718
england,fine,2719
england,fine,2720
england,fine,2721
england,fine,2722
england,fine,2723
england,fine,2724
england,fine,2725
england,fine,2726
england,fine,2768
england,fine,2769
england,fine,2770
england,fine,2771
england,fine,2772
england,fine,2773
england,fine,2774
england,fine,2775
england,fine,2776
england,fine,2777
england,fine,2778
england,fine,2779
england,fine,2780
england,fine,2781
england,fine,2782
england,fine,2783
england,fine,2784
england,fine,2785
england,fine,2786
england,fine,2828
england,fine,2829
england,fine,2830
england,fine,2831
england,fine,2832
england,fine,2833
england,fine,2834
england,fine,2835
england,fine,2836
england,fine,2837
england,fine,2838
england,fine,2839
england,fine,2840
england,fine,2841
england,fine,2842
england,fine,2843
england,fine,2844
england,fine,2888
england,fine,2889
england,fine,2890
england,fine,2891
england,fine,2892
england,fine,2893
england,fine,2894
england,fine,2895
england,fine,2896
england,fine,2897
england,fine,2898
england,fine,2899
england,fine,2900
england,fine,2901
england,fine,2902
england,fine,2903
england,fine,2904
england,fine,2948
england,fine,2949
england,fine,2950
england,fine,2951
england,fine,2952
england,fine,2953
england,fine,2954
england,fine,2955
england,fine,2956
england,fine,2957
england,fine,2958
england,fine,2959
england,fine,2960
england,fine,2961
england,fine,3008
england,fine,3009
england,fine,3010
england,fine,3011
england,fine,3012
england,fine,3013
england,fine,3014
england,fine,3015
england,fine,3016
england,fine,3017
england,fine,3018
england,fine,3019
england,fine,3069
england,fine,3070
england,fine,3071
england,fine,3072
england,fine,3073
england,fine,3074
england,fine,3075
england,fine,3076
england,fine,3077
england,fine,3078
england,fine,3079
england,fine,3129
england,fine,3130
england,fine,3131
england,fine,3132
england,fine,3133
england,fine,3134
england,fine,3135
england,fine,3136
england,fine,3137
england,fine,3138
england,fine,3139
england,fine,3189
england,fine,3190
england,fine,3191
england,fine,3193
england,fine,3194
england,fine,3195
england,fine,3196
england,fine,3197
england,fine,3198
england,fine,3250
england,fine,3251
england,fine,3254
england,fine,3255
england,fine,3256
england,fine,3257
england,fine,3258
england,fine,3314
england,fine,3315
england,fine,3316
england,fine,3317
england,fine,3318
wales,fine,1513
wales,fine,1572
wales,fine,1573
wales,fine,1574
wales,fine,1632
wales,fine,1633
wales,fine,1634
wales,fine,1692
wales,fine,1693
wales,fine,1694
wales,fine,1695
wales,fine,1698
wales,fine,1700
wales,fine,1753
wales,fine,1754
wales,fine,1755
wales,fine,1758
wales,fine,1759
wales,fine,1760
wales,fine,1761
wales,fine,1812
wales,fine,1813
wales,fine,1814
wales,fine,1815
wales,fine,1816
wales,fine,1817
wales,fine,1818
wales,fine,1819
wales,fine,1820
wales,fine,1821
wales,fine,1872
wales,fine,1873
wales,fine,1874
wales,fine,1875
wales,fine,1876
wales,fine,1877
wales,fine,1878
wales,fine,1879
wales,fine,1880
wales,fine,1931
wales,fine,1932
wales,fine,1933
wales,fine,1934
wales,fine,1935
wales,fine,1936
wales,fine,1937
wales,fine,1938
wales,fine,1939
wales,fine,1940
wales,fine,1991
wales,fine,1992
wales,fine,1993
wales,fine,1994
wales,fine,1995
wales,fine,1996
wales,fine,1997
wales,fine,1998
wales,fine,1999
wales,fine,2000
wales,fine,2051
wales,fine,2052
wales,fine,2053
wales,fine,2054
wales,fine,2055
wales,fine,2056
wales,fine,2057
wales,fine,2058
wales,fine,2059
wales,fine,2060
wales,fine,2111
wales,fine,2112
wales,fine,2113
wales,fine,2114
wales,fine,2115
wales,fine,2116
wales,fine,2117
wales,fine,2118
wales,fine,2119
wales,fine,2120
wales,fine,2172
wales,fine,2173
wales,fine,2174
wales,fine,2178
wales,fine,2179
wales,fine,2180
wales,fine,2232
wales,fine,2233
northern ireland,fine,805
northern ireland,fine,806
northern ireland,fine,865
northern ireland,fine,866
northern ireland,fine,867
northern ireland,fine,924
northern ireland,fine,925
northern ireland,fine,926
northern ireland,fine,927
northern ireland,fine,984
northern ireland,fine,985
northern ireland,fine,986
northern ireland,fine,987
northern ireland,fine,988
northern ireland,fine,1044
northern ireland,fine,1045
northern ireland,fine,1046
northern ireland,fine,1047
northern ireland,fine,1048
northern ireland,fine,1104
northern ireland,fine,1105
northern ireland,fine,1106
northern ireland,fine,1107
northern ireland,fine,1108
northern ireland,fine,1109
northern ireland,fine,1164
northern ireland,fine,1165
northern ireland,fine,1166
northern ireland,fine,1167
northern ireland,fine,1168
northern ireland,fine,1169
northern ireland,fine,1224
northern ireland,fine,1225
northern ireland,fine,1226
northern ireland,fine,1227
northern ireland,fine,1228
northern ireland,fine,1229
northern ireland,fine,1284
northern ireland,fine,1285
northern ireland,fine,1286
northern ireland,fine,1287
northern ireland,fine,1288
northern ireland,fine,1289
northern ireland,fine,1343
northern ireland,fine,1344
northern ireland,fine,1345
northern ireland,fine,1346
northern ireland,fine,1347
northern ireland,fine,1348
northern ireland,fine,1349
northern ireland,fine,1404
northern ireland,fine,1405
northern ireland,fine,1406
